study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_smpl_cnt,ww_rts_smpl_cnt,ww_pla_smpl_tkal_cnt,ww_rts_smpl_tkal_cnt
2017-R-CS-760,2017,2017-R-CS-760-20,2017-R-CS-760-20-C,4,1,1,20,C,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,60,10,34
2017-R-CS-760,2017,2017-R-CS-760-20,2017-R-CS-760-20-D,4,1,1,20,D,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,59,9,14
2017-R-CS-760,2017,2017-R-CS-760-20,2017-R-CS-760-20-E,4,1,1,20,E,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,61,10,41
2017-R-CS-760,2017,2017-R-CS-760-21,2017-R-CS-760-21-A,4,1,2,21,A,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,61,10,24
2017-R-CS-760,2017,2017-R-CS-760-21,2017-R-CS-760-21-B,4,1,2,21,B,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,54,9,42
2017-R-CS-760,2017,2017-R-CS-760-21,2017-R-CS-760-21-C,4,1,2,21,C,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,57,10,16
2017-R-CS-760,2017,2017-R-CS-760-21,2017-R-CS-760-21-D,4,1,2,21,D,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,57,9,27
2017-R-CS-760,2017,2017-R-CS-760-21,2017-R-CS-760-21-E,4,1,2,21,E,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,56,9,45
2017-R-CS-760,2017,2017-R-CS-760-24,2017-R-CS-760-24-A,4,1,3,24,A,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,56,0,0
2017-R-CS-760,2017,2017-R-CS-760-24,2017-R-CS-760-24-B,4,1,3,24,B,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,65,9,20
2017-R-CS-760,2017,2017-R-CS-760-24,2017-R-CS-760-24-C,4,1,3,24,C,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,48,5,5
2017-R-CS-760,2017,2017-R-CS-760-24,2017-R-CS-760-24-D,4,1,3,24,D,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,46,9,23
2017-R-CS-760,2017,2017-R-CS-760-24,2017-R-CS-760-24-E,4,1,3,24,E,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,53,8,14
2017-R-CS-760,2017,2017-R-CS-760-19,2017-R-CS-760-19-A,4,2,1,19,A,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,62,10,50
2017-R-CS-760,2017,2017-R-CS-760-19,2017-R-CS-760-19-B,4,2,1,19,B,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,56,5,8
2017-R-CS-760,2017,2017-R-CS-760-19,2017-R-CS-760-19-C,4,2,1,19,C,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,55,10,37
2017-R-CS-760,2017,2017-R-CS-760-19,2017-R-CS-760-19-D,4,2,1,19,D,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,47,9,38
2017-R-CS-760,2017,2017-R-CS-760-19,2017-R-CS-760-19-E,4,2,1,19,E,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,59,10,41
2017-R-CS-760,2017,2017-R-CS-760-22,2017-R-CS-760-22-A,4,2,2,22,A,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,65,10,38
2017-R-CS-760,2017,2017-R-CS-760-22,2017-R-CS-760-22-B,4,2,2,22,B,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,60,10,52
2017-R-CS-760,2017,2017-R-CS-760-22,2017-R-CS-760-22-C,4,2,2,22,C,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,64,10,52
2017-R-CS-760,2017,2017-R-CS-760-22,2017-R-CS-760-22-D,4,2,2,22,D,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,61,10,35
2017-R-CS-760,2017,2017-R-CS-760-22,2017-R-CS-760-22-E,4,2,2,22,E,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,65,10,43
2017-R-CS-760,2017,2017-R-CS-760-23,2017-R-CS-760-23-A,4,2,3,23,A,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,74,10,61
2017-R-CS-760,2017,2017-R-CS-760-23,2017-R-CS-760-23-B,4,2,3,23,B,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,57,6,8
2017-R-CS-760,2017,2017-R-CS-760-23,2017-R-CS-760-23-C,4,2,3,23,C,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,57,8,16
2017-R-CS-760,2017,2017-R-CS-760-23,2017-R-CS-760-23-D,4,2,3,23,D,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,63,10,35
2017-R-CS-760,2017,2017-R-CS-760-23,2017-R-CS-760-23-E,4,2,3,23,E,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,50,9,28
