study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_cnt,ww_rts_cnt,ww_pla_tkal_cnt,ww_rts_tkal_cnt
2016-R-CS-760,2016,2016-R-CS-760-10,2016-R-CS-760-10-D,2,2,2,10,D,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,50,10,31
2016-R-CS-760,2016,2016-R-CS-760-10,2016-R-CS-760-10-E,2,2,2,10,E,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,56,9,14
2016-R-CS-760,2016,2016-R-CS-760-11,2016-R-CS-760-11-A,2,2,3,11,A,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,11,66,11,45
2016-R-CS-760,2016,2016-R-CS-760-11,2016-R-CS-760-11-B,2,2,3,11,B,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,11,73,10,41
2016-R-CS-760,2016,2016-R-CS-760-11,2016-R-CS-760-11-C,2,2,3,11,C,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,55,9,41
2016-R-CS-760,2016,2016-R-CS-760-11,2016-R-CS-760-11-D,2,2,3,11,D,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,53,8,17
2016-R-CS-760,2016,2016-R-CS-760-11,2016-R-CS-760-11-E,2,2,3,11,E,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,62,10,41
2016-R-CS-760,2016,2016-R-CS-760-13,2016-R-CS-760-13-A,3,1,1,13,A,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,71,10,49
2016-R-CS-760,2016,2016-R-CS-760-13,2016-R-CS-760-13-B,3,1,1,13,B,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,64,10,52
2016-R-CS-760,2016,2016-R-CS-760-13,2016-R-CS-760-13-C,3,1,1,13,C,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,58,10,44
